"Business Unit ","Supplier Name","Supplier Number","Supplier Site Code","Legal Entity Name","Invoice Number","Invoice Amount","Invoice Type","Invoice Date","Invoice Source","Payment Term","Invoice Currency","Payment Currency","Invoice Status ","Amount Paid","Payment Date","GL Date","Line Number","Line Type","Line Amount","PO Line Status ","Tax Classification Code","Overlay Dist Code Concat","PO Number ","Invoice Image URL"
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,1,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,2,"Item",3.84,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,3,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,4,"Item",6.26,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,5,"Item",11.80,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,6,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,7,"Item",3.84,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,8,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,9,"Item",4.39,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,10,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,11,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,12,"Item",6.26,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,13,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,14,"Item",11.04,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,15,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,16,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,17,"Item",5.89,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,18,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,19,"Item",8.54,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,20,"Item",6.26,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,21,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,22,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
